Player,Status,Pos,fg_pct,avg_dist,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,AST,STL,BLK,TOV,PF,PTS,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
Marquis Teague,Inactive,SG,0.349,10.6,5.2,14.8,0.6,2.6,4.6,12.2,2.2,3.3,0.686,7.7,1.2,0.8,4.7,5.9,13.1,0.405,0.22,0.5,11.1,5.8,22.9,1.2,1.1,22.5
Marreese Speights,Active,C,0.464,10.9,10.5,22.6,0.8,2.2,9.8,20.5,4.9,6.2,0.8,2.2,0.9,1.7,3,7.5,26.7,0.527,0.272,10.6,20.6,15.7,7.1,0.9,2.6,10.4
MarShon Brooks,Inactive,SG,0.442,12.4,9,20.3,1.4,4.2,7.6,16,3.9,5.3,0.748,4.3,1.8,0.6,3.9,4.2,23.3,0.514,0.26,4.4,10.1,7.2,14.4,1.8,0.9,14.7
Martell Webster,Inactive,SF,0.418,17.5,6.5,15.5,3,7.9,3.4,7.6,3.3,4.2,0.791,2.2,1.1,0.6,2,4,19.2,0.556,0.272,2.9,12.4,7.6,6.8,1.1,0.9,10.5
Marvin Williams,Active,PF,0.443,13.9,6.9,15.6,1.5,4.3,5.4,11.2,3.9,4.8,0.807,2.4,1.4,0.9,1.8,3.7,19.2,0.543,0.31,5.1,16.3,10.6,7.3,1.4,1.4,9.4
Mason Plumlee,Active,C,0.559,3.7,7.5,13.5,0,0.1,7.5,13.4,4.7,8,0.582,4.5,1.8,2.1,3.3,6,19.8,0.581,0.594,9.9,21.7,15.8,13.6,1.8,3.3,16.2
Matt Barnes,Active,SF,0.436,14.3,6.5,14.8,2.3,6.8,4.2,8,2.4,3.2,0.745,3.9,1.7,1,2.7,5.5,17.6,0.542,0.217,5.6,16.4,11.1,11.4,1.7,1.6,14.3
Matt Bonner,Inactive,PF,0.464,17.8,6.9,14.8,3.1,7.5,3.7,7.2,1.3,1.7,0.78,2.2,1.1,0.8,1.2,5.1,18.2,0.585,0.115,5.5,15.1,10.4,6.3,1.1,1.2,7
Matt Carroll,Inactive,SG,0.413,16.9,7.1,17.2,2.4,6.2,4.7,11,4.2,5,0.841,2.2,1.5,0.4,2,4.9,20.8,0.535,0.29,2.2,11.3,6.6,6.9,1.5,0.6,9.5
Matthew Dellavedova,Active,PG,0.393,16.4,5.1,13,2.4,6.1,2.7,6.9,1.6,2,0.831,8.6,1.2,0.1,2.9,4.8,14.3,0.513,0.15,2.2,7.6,4.9,24.2,1.2,0.2,17.4
